id,name,category,ingredients,quantity,craft_time,skill_required,result_item,unlock_requirement
recipe_sword_heavenly,weapon,item_sword_steel,item_essence_metal,item_crystal_pure,1,120,faction_tianjian_rep_80,item_sword_heavenly,quest_q_sekte_06a_complete
recipe_pill_golden,consumable,item_herb_golden,item_essence_fire,item_water_pure,3,90,cultivation_realm_4,item_pill_golden_elixir,faction_tiandan_rep_70
recipe_spirit_armor,armor,item_cloth_spirit,item_essence_soul,item_stone_binding,1,100,faction_guling_rep_75,item_armor_spirit,quest_q_sekte_06c_complete
recipe_shadow_dagger,weapon,item_iron_dark,item_essence_shadow,item_crystal_void,1,80,speed_stat_40,item_dagger_shadow,companion_xue_recruit
recipe_flame_sword,weapon,item_sword_basic,item_essence_fire,item_wing_phoenix,1,110,faction_tianjian_rep_60,item_sword_flame,companion_liuyan_bond2
recipe_heal_pill_major,consumable,item_herb_heal,item_water_pure,item_essence_life,5,45,alchemy_skill_5,item_pill_heal_major,faction_tiandan_rep_40
recipe_earth_shield_scroll,scroll,item_paper_special,item_essence_earth,item_crystal_ground,3,60,cultivation_realm_3,scroll_earth_shield,quest_q_sekte_03c_reward
recipe_shadow_cloak,armor,item_cloth_dark,item_essence_void,item_smoke_powder,1,75,stealth_stat_30,item_cloak_darkness,enemy_assassin_drop_recipe
recipe_ice_crystal_craft,material,item_water_frozen,item_essence_ice,item_air_cold,2,50,cold_resistance_50,item_crystal_ice,location_north_exploration_unlock
recipe_thunder_talisman,consumable,item_paper_lightning,item_essence_thunder,item_metal_conductor,10,30,lightning_affinity,item_talisman_thunder,quest_side_thunder_complete
recipe_soul_bind_stone,tool,item_stone_spirit,item_essence_soul,item_thread_karma,1,95,spirit_commune_skill,item_spirit_bond_stone,faction_guling_rep_80
recipe_poison_antidote,consumable,item_herb_cure,item_water_pure,item_essence_cleanse,5,25,alchemy_skill_3,item_pill_antidote,general_merchant
recipe_exp_boost_elixir,consumable,item_herb_exp,item_essence_wisdom,item_crystal_mind,1,150,cultivation_realm_5,item_pill_exp_major,boss_miniboss_drop_recipe
recipe_teleport_scroll,scroll,item_paper_void,item_essence_space,item_crystal_dimension,1,180,space_affinity_high,scroll_teleport_city,late_game_unlock
recipe_resurrection_pill,consumable,item_herb_life,item_wing_phoenix,item_essence_soul,item_core_dragon,1,300,all_stats_80,item_pill_immortality,endgame_all_factions_max
recipe_dark_cultivation_manual,key_item,item_scroll_dark,item_essence_corruption,item_blood_demon,1,200,dark_path_choice,item_manual_dark,benua_gelap_infiltration
recipe_light_cultivation_manual,key_item,item_scroll_light,item_essence_purity,item_tear_angel,1,200,light_path_choice,item_manual_light,heaven_path_max_rep
recipe_balance_cultivation_manual,key_item,item_scroll_balance,item_essence_yin,item_essence_yang,1,200,balance_path_choice,item_manual_balance,neutral_path_ending
recipe_companion_bond_item,tool,item_token_friendship,item_essence_bond,item_crystal_heart,1,60,relationship_50,item_bond_crystal,any_companion_bond3
recipe_final_weapon_combine,weapon,item_sword_heavenly,item_dagger_shadow,item_core_dragon,item_wing_phoenix,1,500,all_techniques_mastered,item_weapon_legendary,true_ending_requirements
