id,name,kind,power,qi_cost,realm_required,element,guard_pct,tags,apply_status,status_chance,status_duration,combo_with_tag,combo_bonus_pct,branch_group,evolves_from,unlock_arc
teknik_dasar,Teknik Dasar,attack,5,3,realm_chuji,,,offensive,,,,,,,,
teknik_wuxin,Teknik Pelepasan,defend,3,2,realm_chuji,tanah,30,defensive,,,,,,,,
teknik_jianxin,Tebasan Pedang Jantung,attack,7,4,realm_chuji,logam,,"pedang,offensive",,,,,,,,
teknik_yanzhi,Analisa Prinsip,heal,4,3,realm_chuji,kayu,,heal,,,,,,,,
teknik_liuguang,Teknik Adaptasi,defend,4,2,realm_chuji,air,40,defensive,,,,,,,,
teknik_langkah_bayangan,Langkah Bayangan,defend,2,2,realm_chuji,air,25,"defensive,evasion",,,,,,,,
teknik_gelombang_qi,Gelombang Qi,attack,6,3,realm_chuji,air,,"offensive,combo_starter",,,,,,,,
teknik_pedang_logam,Pedang Sembilan Logam,attack,12,5,realm_xuanshi,logam,,"pedang,offensive",,,,pedang,25,,,
teknik_perisai_tanah,Perisai Gunung,defend,2,3,realm_xuanshi,tanah,35,defensive,,,,,,,,
teknik_pemulihan_kayu,Nafas Hutan,heal,9,5,realm_xuanshi,kayu,,heal,regen,50,2,,,,,
teknik_badai_api,Badai Api Membara,attack,16,7,realm_dishi,api,,"offensive,combo_starter",burn,40,2,,,,,
teknik_aliran_air,Aliran Kehidupan,heal,14,6,realm_dishi,air,,heal,,,,,,,,
teknik_benteng_logam,Benteng Baja Sejati,defend,2,5,realm_dishi,logam,50,defensive,,,,,,,,
teknik_naga_kayu,Naga Hijau Bangkit,attack,22,9,realm_tianshi,kayu,,"offensive,combo_finisher",,,,combo_starter,20,,,
teknik_inti_bumi,Inti Bumi Abadi,heal,20,8,realm_tianshi,tanah,,heal,,,,,,,,
teknik_tirai_air,Tirai Air Seribu Lapis,defend,2,7,realm_tianshi,air,60,defensive,,,,,,,,
teknik_wuxin_perisai,Pelepasan: Perisai,defend,2,3,realm_xuanshi,tanah,45,defensive,,,,,,branch_wuxin,teknik_wuxin,
teknik_wuxin_balas,Pelepasan: Balas,defend,2,3,realm_xuanshi,tanah,25,"defensive,counter",,,,,,branch_wuxin,teknik_wuxin,
teknik_jianxin_penembus,Pedang: Penembus,attack,18,7,realm_dishi,logam,,"pedang,offensive",,,,,,branch_jianxin,teknik_jianxin,
teknik_jianxin_pemecah,Pedang: Pemecah,attack,15,7,realm_dishi,logam,,"pedang,offensive",weaken,30,2,,,branch_jianxin,teknik_jianxin,
teknik_yanzhi_dalam,Prinsip: Dalam,heal,8,5,realm_dishi,kayu,,heal,,,,,,branch_yanzhi,teknik_yanzhi,
teknik_yanzhi_celup,Prinsip: Celup,heal,5,4,realm_dishi,kayu,,"heal,cleanse",,,,,,branch_yanzhi,teknik_yanzhi,
teknik_liuguang_arus,Adaptasi: Arus,defend,2,6,realm_tianshi,air,50,"defensive,qi_restore",,,,,,branch_liuguang,teknik_liuguang,
teknik_liuguang_pantul,Adaptasi: Pantul,defend,2,6,realm_tianshi,air,35,"defensive,reflect",,,,,,branch_liuguang,teknik_liuguang,
teknik_pedang_api_membara,Pedang Api Membara,attack,25,10,realm_dishi,api,,"pedang,offensive,combo_finisher",burn,50,3,,,,,
teknik_pamungkas_wuxing,Siklus Wuxing Sempurna,attack,45,14,realm_shenwu,,,"offensive,combo_finisher",,,,,,,,
teknik_gempa_tanah,Gempa Tanah,attack,10,4,realm_xuanshi,tanah,,"offensive,combo_starter",,,,,,,,
teknik_aliran_qi_sejati,Aliran Qi Sejati,attack,17,6,realm_dishi,air,,offensive,,,,,,,,
teknik_nafas_hutan_suci,Nafas Hutan Suci,heal,16,6,realm_dishi,kayu,,heal,regen,60,3,,,,,
teknik_arus_laut_dalam,Arus Laut Dalam,defend,2,6,realm_dishi,air,55,"defensive,qi_restore",,,,,,,,
